	Atf3	Batf3	Bcl6	Crem	Dmrta1	Dot1l	E2f3	Epas1	Fiz1	Foxa1	Foxo1	Hey1	Hoxa5	Ikzf2	Jun	Junb	Jund	Mycn	Nfkb1	Nfkb2	Nr1d1	Plagl2	Rora	Scrt1	Skil	Stat3	Thap3	Zbtb37	Zfp110	Zfp341	Zfp608	Zfp709	Zfp712	Zfp768	Zhx1	Znf512b
Enpp5	0	0	0	0	0	0	0	0	0	0	0	0	-0.35586	0	0	0	0	0	0	-0.22057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epas1	0	0	0	0	0	0	0	0	0	0.92205	0	0	0	0.63936	0	0	0	0	0	0	0	0	0	0	0.7792	0	0	0	0	0	0	0	0	0	0	0
Ercc6l2	0	0	0	0	0	0	0	0	0	0.73607	0	0	0	0	0	0	0	0	0	0	0.3485	0	0.7728	0	0	0	0	0	0	0	0	0	0	0	0	0
Ern1	0.43027	0	0	0	0	0.65935	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Errfi1	0	0	0	0.60865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esyt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.69721	0	0
Fah	0	0	0.91144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam101b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66555	0	0	0	0	0	0	-0.34327	0	0	0	0	0	0	0	0
Fam155a	0	0.65083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84339	0	0	0	0	0	0.33478	0	0	0	0	0	0	0
Fam167a	0.93691	0.74886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91865	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam184b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.52607	0	0	0	0.3242	0	0	0.88261	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam35a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.095061	0	0	0	0	0	0
Fam43a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73299	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam71a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.528	0	0	0	0	0	0	0	0.007962	0	0	0	0	0	0	0	0	0	0	0
Filip1l	0	0	0	0	0	0	0	0	0	0.86859	0	0	0	0	0.10263	0	0	0	0	0	0	0	0.97546	0	0	0	0	0	0	0	0	0	0	0	0	0
Flnb	0	0	0	0	0	0	0	0	0	0.89367	0	0	0	0	-0.63936	0	0	0	0	0	0	0	0	0.12022	0	0	0	0	0	0	0	0	0	0	0	0
Foxa1	0	0	0	0	0	0	0	0	0	0	0	0	0.64081	0	0	0.25486	0	0	0	0.73337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxo1	0	0	0.25266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75436	0	0	0	0	0	0	0	0	-0.69389	0
Frmd6	0	0	0.48501	0	0	0	0	0	0	0	0	0	0	0	-0.6505	0.66209	0	0	0	0	0.735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gab3	0	0	0.93027	0	0.30167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.11027	0	0	0	0	0	0	0	0	0	0	0	0	0
Galm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.43735	0	0	0	0	0	0	0	0	0	0	0	0	0
Ggact	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.52546	0	0.078888
Glipr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gls2	0.91049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75365	0	0	0	0	0	0	0.22392	0	0.05469	0	0	0	0	0	0	0	0	0	0	0
Gm166	0	0.6878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16702	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20686	0	0	0	0	0	0	0.076348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.39559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4956	0	-0.20072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnaq	0	0	-0.95737	0	0	0	0	0	0	0	0	0	0	0	0.88261	0	0	0	0	0	0	0	0.71186	0	0	0	0	0	0	0	0	0	0	0	0	0
Golim4	0	0	0	0	0	0	0	0	0	0	0	0	0.76379	0	0	0	0	0	0	0	0	0	0.96102	0	0	0	0	0	0	0	0	0	0	0	0	0
Gphn	0	0	0	0	0	0	0	0	0	-0.027096	0	0	0	0	0.33844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99677	0	0.90835	0	0	0	0	0	0	0	0	0	0	0	0	0
Gramd1b	0	0	0	0	0	0	0	0	0	0	0	0	0.30167	0.057697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gstcd	0	0	-0.53272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guk1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.21027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gzmc	0	0	0.8493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.3838	0	0	0	0	-0.39508	0	0	0	0	0	0	0	0
H2-Ke6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.81441	0	0	0	0	0	0	0	-0.14917	0	0
Hdac5	0	0	0.45647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6959	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdhd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.11938	0	0	0	0	0	0
Hgsnat	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.54104	0	0.21401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxa5	0	0	0	0	0	0	0	0	0	0	0	0	0.74071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hpgds	0	0	0	0	0	0	0	0	0	0	0	0	0.76848	0	0	0	0	0	0.93183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hrh2	0	0	0	0	0	0	0	0	0	-0.0354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa1a	0.77047	0	0.25382	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa1b	0.228	0	0.61745	0	0	0	0	0	0	0	0	0	0	0	0.61106	0	0.43735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hvcn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.29573	0	0	0	0	0	0	0	0	0.042692	0	0	0	0	0	0	0	0	0
Ifit1	0	0	0	0	0	0	0	0	0	0.12766	0	0	0	0	0	0	0	0	0	0	0	0	0.88261	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifngr1	0	0	0.89961	0	0	0	0	0	0	0	0.90975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igfbp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13504	0	0.88359	0	0	0	0	0
Igtp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.27583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf2	0	0	0	0	0	0	0	0.92663	0	-0.6967	0	0	0	0	0	0	0	0	-0.4246	0	0.63118	0	0.88261	0	0	0	0	0	0	0	0	0	0	0	0	0
Il1r1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81491	-0.41527	0	0	0	0	0.57872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il33	0	0.92901	0	0	0	0	0	0	-0.21234	0	0	0	0	0	0.9634	0	0	0	0	0	0	0	0.15028	0	0	0	0	0	0	0	0	0	0	0	0	0
Il7r	0	0	0	0	0	0	0	0	0	0.84157	0	0	0.78654	0	0	0	0	0	0.29966	0	0.90354	0	0.99892	0	0	0	0	0	0	0	0	0	0	0	0	0
Inpp5d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.72923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ip6k1	0	0	0	0	0	0	0	0	0.61912	0.6132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
