	Bcl6	Bhlhe40	Crem	Dot1l	Epas1	Foxo1	Hivep1	Ikzf3	Irf1	Jun	Junb	Jund	Kdm2b	Klf13	Klf2	Klf6	Lin54	Mlxip	Nfat5	Nfkb1	Nfkb2	Nr3c1	Nr4a2	Purb	Rora	Skil	Stat3	Stat5a	Zbtb21	Zfp131
Azin1	0.81916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.944	0	0	0	0	0
BC005537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78055	0	0	0	0	0	0	0	0	0	0	0	0	0
Baz1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83529	0	0.4093	0	0	0	0	0	0	0	0	0	0	0
Bhlhe40	0.53507	0	0	0	0	0	0	0	0	0	0.36161	0.5727	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96619	0	0	0	0
Birc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48411	0	0.39182	0	0	0	0	0	0	0
Bpnt1	0	0	0.60865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86016
Brd1	0	0	0	0	0	0	0	0	0	0	0	0	0.42792	0	0	0	0.54808	0	0	0	0	0	0.098457	0	0	0	0	0	0	0
Bzw2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64289	0	0	0	0	0	0	0	0	0	0
C030046E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5839	0	0	0	0	0	0	0	0	0	0.23398	0	0	0
Cables1	0.41569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6186	0	0	0	0	0	0	0	0	0
Cblb	0.8541	0	0	0	0	0	0	0.8722	0	0	0	0	0	0.27775	0.17164	0	0	0	0	0	-0.28755	0	0	0	0	0	0	0	0	0
Ccng2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.55586	0	0	0	0	0
Cd164	0	0.30656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd226	0.66137	0	0	0	-0.14313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.086476	0	0	0	0	0	0	0	0	0
Cd83	0	0.80056	0	0	0	0	0.72585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd93	-0.58839	0	0	0	0	0	0	0	0	0	0.038906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdip1	0	0	0	0	0	0	0.57901	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91049	0	0	0	0	0	0	0	0	0
Cdkn1a	0	0	0.9935	0.8541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chd7	0	0	0	0	0	0	0.64081	0	0	0	0	0	0	0	0.12359	0	0	0	0	0	0	0	0.61491	0	0	0	0	0	0	0
Cish	0	0	0	0	0	0	0	0.38161	0	0	0	0	0	0	0	0	0	0	0	0.82502	0	0	0	0	0	0	0	0	0	0
Clcn3	0	0	0	0	0	0	0	0	0	0	-0.60544	0	0	0	0	0	0	0	0.030508	0	0	0	0	0	0.96856	0	0	0.91435	0	0
Clec2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.95737	0	0	0	0	0
Cltc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63738
Cnn2	0	0	0	0	0	0	-0.60182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnnm2	0	0	0	0	0	0	0	0	0	0.43585	0	0	0	0	0	0	0	0	0	0.76449	0.8715	0	0	0	0	0	0	0	0	0
Crem	0	0	0	0	0	0.59878	0	0	0	0	0	0	0	0	0	0	0.59171	0	0	0	0	0	0	0	0	0.96102	0.36739	0	0	0
Ctsw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.44833	0	0	0	0	0	0	0	0	0
Cwc25	0	0	0	0.26462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7584
Cx3cl1	0	0	0	0	0	0	0.97766	0	0	0.93027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyfip2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.50112	0	0
Cytip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46289	0	0.94522	0	0	0	0	0	0	0	0.12594	0	0	0	0	0
Dars	0	0	0	0	0	0	0	0	0	0	0	0	-0.12022	-0.6878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx3x	0	0	0	0	0	0	0	0	0	0.43872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15753	0.54868	0	0	0.66112	0
Dennd4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9058	0	0	0	0	0	0	0	0	0	0	0	0	0
Dgat1	-0.45763	0.071798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39043	0	0	0	-0.49081	0	0	0	0	0
Dhx40	0	0	0	0	0.36267	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43252	0	0	0	0	0	0.11633	0	0	0	0	0
Dot1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3167	0	0	0	0	0	0	0	0	0
Dusp1	0	0	0	0	0	0	0	0	0	0.96737	0.80964	0	0	0	0	0.761	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp4	0.99735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66424	0	0	0	0
Edem1	0	0	0	0	0	0.82502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ell2	0	0	0.56089	0	0	0	0	0	0	-0.66112	0.79863	0	0	0	0	0	0.39182	0	0	0.088906	0	0.76239	0	0	0	0.82347	0	0	0.71999	0.49319
Elovl5	0	0	0	0	0	0	0	0	0	0	0	0	0.45763	0	0	0	0	0	0	0	0	0	0	0	0.64902	0	0	0	0	0
Emb	0	0	0	0	0	0	0	0	0	-0.79123	0.7728	0	0.45304	0	0	0	0	0	0	0	0.7326	0	0	0	0.96469	0	0	0	0	0
Emd	0	0	0.73316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37172	0	0	0	0
Epas1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7792	0	0	0	0
Epb4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eprs	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92431	0	0	0	0.39266	0.87956
Erbb2ip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99677	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ern1	0	0	0	0.65935	0	0	0	0	0	0	0	0	0	0	0	0.47387	0.8337	0	0	0	0.9949	0	0	0	0	0	0	0	0	0
Etnk1	-0.77664	0	0	0	0	0	0	0	0	0	-0.73607	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86261	0	0	0	0	0
Fam46a	0	0	0	0	0.67778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78101	0	0	0	0	0	0	0	0
Fasl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19137	0	0	0	0	0	0	0
Fes	0	0	0	0	0	0	0	0	0	0	0.49131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flna	0	0	0	0	0	0	0	0	0	0	0.66719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxo1	0.25266	0	0	0	0	0	0	0	-0.76909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75436	0	0	0
Fryl	0.22675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.41669	0	0	0	0	0	0	0	0	0	0
Furin	0	0	0	0	0	0	0	0	0	0	0.6186	0	0	0	0	0	0	0	0	0.9027	0.97325	0	0	0	0	0	0	0	0	0
Gimap1	0	0	0	0	0	0	0	0	0	0	0	0.23054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.64166	0	0
Gimap6	0	0	0	0	0.7711	0	-0.20072	0	0	0	0	0	0	0	0.060128	0	0	0	0	0	0	0	0.9634	0	0	0	0	0	0	0
Gimap7	0	0	0	0	0.85888	-0.1857	-0.1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88218	0	0	0	0	0	0	0
Gimap8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.28084	0	0
Gjb2	0.97853	0.51465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96737	0	0	0	0	0
Gna13	0	0	0.88724	0	0	0	0.61656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr132	0	0.74464	0	0.20199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grcc10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp1	0	0	0	0	0	0	0	0	0	0	0	0	0.54163	0	0	0	0	0	0	0	0	0	0.83694	0	0	0	0	0	0	0
Gzmb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99846	0	0	0	0	0	0	0
Gzmc	0.8493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.3838	0	0	0	0	0
Hccs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3823	0	0	0	0.45678
Hivep1	0	0	0	0	0	0	0.71505	0	0	0	0	0	0	0	0	0	0	0.24797	0	0	0	0	0	0	0	0	0	0	0	0
Hk2	0	0	0	0	0	0	0	0	0	0.81686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa1a	0.25382	0	0	0	0	0	0	0	0.15028	0	0	-0.25347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa1b	0.61745	0	0	0	0	0	0	0	0	0.61106	0	0.43735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77315	0	0	0	0	0	0	0	0	0	0
Icam1	0	0	0	0	0	0	0	0	0	0	0	0.12831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf3	-0.38817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26745	0	0	0	0	0	0	0	0	0	0
Il16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.37602
Il17a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.022951	0	0	-0.14758	0	0
Il17f	0.33091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95592	0	0
Il2ra	-0.6959	0	0	0	0	0	0	0	0	0.84883	0	0	0	0	0	0	0	0	0	0	0.11309	0	0	0	0.098239	0	0	0.97546	0	0
Il2rb	0	0	0	0	0	0.78792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il4ra	0.8595	0	0	0	0	0.013509	0	0	0	0	0	0	0	0	-0.40419	0	0	0	0	0	0	0	0	0	-0.40681	0	0	0	0	0
Ipcef1	0.26483	0	0	0	-0.45793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95592	0	0	0	0	-0.37021	0	0
Irak2	-0.15545	0	0	0	0	0	0	0	0	0.57019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86396	0	0
Irf1	0	0	0	0	0	0	0	0	0	0	0	0.83345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgav	0	0	0	0	0	0	0	0	0	0	0.80175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgb3	0	0	0	0	0.84523	0	0	0	0	-0.69316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90416	0	0	0.97217	0	0	0	0	0	0	0
Itpkb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5967	0	0	0	0	0
Jmy	0	0	0	0.26653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42918	0
Jun	0	0	0	0	0	0	0	0	0.12214	0	0.1112	0.99243	0	0	0	0.68691	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jund	0	0	0	0	0	0	0	0	0	0.99952	0	0	0	0	0.40818	0.93306	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd12	0	0.22057	0	0	0	0	0	0	0	0	0	0	0.96737	0	0	0.63618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm2b	0	0	0	0.61985	0	0	0	0	0	0	0	0	0	0	0.27652	0	0	0.93183	0	0	0	0	0	0	0	0	0.71945	0	0	0
Kdm6b	0	0	0	0.99586	0	0	0.57982	0	0	0	0	0	0.55816	0	0	0	0	0	0	0	0.7308	0	0	0	0	0.93565	0	0	0	0
Kit	0.097227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94246	0	0	0	0	0
Klf13	0	0	0	0	0	0	-0.54721	0	0	0	0	0	0	0	0	0	0	0	0	-0.041025	0	0	0	0	0	0	0	0	0	0
Klf2	0	0	0	0	0	0	0	0	0	0	0	0.88581	0	0	0	0	0	0	0	0	0	0	0	-0.43116	0	0	0	0	0	0
Klf6	0	0	0	0	0	0	0	0	0	0.45623	0	0.8753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klrb1b	0.98563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klrb1c	0	0	0	0	-0.84849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84247	0	0	0.84883	0	-0.49684	0	0	0	0	0
Kpna1	0	0	0.084138	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98249	0	0	0	0	0	0	0	0	0.92315	0	0	0	0
Lats2	0.83987	0	0	0	0	0	0	0	0	0.76909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88679	0	0	0	0	0	0	0
Litaf	0	0	0.62484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8735	0	0	0	0	0	0	0
Lrrc8d	0	0	0	0	0	0	0	0	0	0	0	0	0.94522	0	0	0	0.87817	0	0	0	0	0	0	0	0	0	0.47689	0	0	0
Lyn	0	0	0	0	0	0	0	0	0	0	0	0	0.66368	0	0	0	0	0	0	0	0	0	0.68898	0	0	0.61624	0	0	0	0
Malt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59925	0	-0.97666	0	0	0	0	0
Maml1	0	0	0	0	0	0.16938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33478	0	0
Map3k1	0	0	0	0	0.27706	0	0	0	0	0	0	0	0	0.19526	0	0	0	0.6959	0	0	0	0	0.76639	0	0	0	0	0	0	0
Map3k14	0	0	0	0	0	0	0	0	0	0.087473	0.48571	0.68501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapkapk2	-0.62602	0.26522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9027	0	0.34673	0	0	0.98406	0	0
Mapkapk3	0	0	0	0	0	0	0.066656	0	0	0	0.4972	0	0	0	-0.74864	0	0	0	0	0	0.59983	0	0	0	-0.36797	0	0	0	0	0
Marcksl1	0	0	0	0	0	0	0.95737	0	0	-0.59156	0	0	0	0	0	0	0	0	-0.98035	0	0	0	0	0	0	0	0	0	0	0
Mbp	-0.71591	0	0	0	0	0	0	0	0	0	0.88052	0	0	0	0	0	0	0	0	0	0	0	-0.21602	0	-0.31242	0	0	0	0	0
Med13	0	0	0	0	0	0.022421	0.81631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mex3c	0	0	0	0	0	0	0	0	0	0	0.93967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mfsd6	0.87817	0	0	0	0	0	0.36663	0	0	-0.7137	0.52222	0	0	0	0	0	0	0	0	0	0.58163	0	0	0	0.022125	0	0	0	0	0
Mgat4a	0	0	0	0	0	0	0	0	0	0.86396	-0.77364	0	0	0.31242	0	0	0	0	0	0	0	0	0	0	0.66918	0	0	0	0	0
Mlxip	0.29074	0	0	0	0	0	0	0	0	0	0	0	0.92663	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092895	0	0	-0.28475
Mmd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67703	0	0	0	0	0	0	0	0.971	0	0	0	0	0	0	0
Myo1e	0.58313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa7	0	0	0	0	0	0	0	0	0.76973	0.09034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97325	0	0	0.56681	0	0
Ncr1	0	0	0	0	0.90835	0	0	0.67451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkb1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.63118	0	0	0	0	0	0	0	0	0	0	0.043503	0	0	0	0	0
Nfkb2	0	0.048909	0.38718	0.80023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34006	0	0	0
Nfkbie	0	0.7106	0	0.12022	0	0	0.54765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Notch2	0	0	0	0	0	0	0.69866	0	0	0	-0.1179	0	0	0	0	0	0	0	0.87817	0.83062	0	0	0	0	0	0	0	0	0	0
Nr3c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03015	0	0	0	0	0	0	0	0	0	0	0	0	0
Nr4a2	0.74886	0	0	0	0	0	0	-0.48225	0	0	0	0	0	0	0	-0.030508	0.58621	0	0	0	0	0	0	0	0	0.55707	0	0	0	0
Odc1	0	0	0	0	0	0	0	0	-0.81441	0.53208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55338	0	0	0	0
Osbpl8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088906	0	0	0	0	0	0	0	0	0	0	0	0	0
Osbpl9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57234	0	0	0	0	0.74718
Otulin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96737	0	0	0	0	0	0	0
Pabpc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66634	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcf11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63794	0	0	0	0	0	0	0	0	0	0	0
Pcyt1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.73461	0	0	0	0	0	0	0
Pde4b	0.6462	0	0	0	0	0	0.75254	0.25732	0	0.57186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peg13	0	0.79925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26147	0	0	0	0	0	0	0	0	0	0	0	0
Pfkfb3	0	0	0	0	0	0	0	0	0	0	0.31155	0	0	0	0	0	0	0	0.17879	0	0	0	-0.65859	0	0	0	0	0	0	0
Pfkp	0	0	0	0	0	0	0	0.74319	0	0.028888	0.77364	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87417	0	0	0	0	0
Plcxd2	0	0	0	0	0	0	0	0	0	0.66634	0	0	0	0.8447	0	0	0	0	0	0	0	0	0	0	0.97945	0	0	0	0	0
Plekhg1	0	0	0	0	0	0	0.36641	0	0	-0.5911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92777	0	0
Ppfia1	0	0	0	0.65757	0	0	0	0.30026	0	0.90076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94763	0	0	0	0	0
Ppp1r16b	0.90416	0.13395	0	0	0	0	0	0	0	0	0.31597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prkcb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91974	0	0	0	0	0	0	0	0.47778	0	0	0	0	0	0	0
Prrc2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77234	0	0	0	0.98724	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn22	0.9058	0	0	0	0	0	0	0	0	0	0	0	0	0.077314	-0.1112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73523	0	0	0	0	0	0	0	0.98146	0	0.40696	0	0	0	0	0
Ptpn7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab11fip1	0	0	0	0	0	0	0	0	0	0.94654	0.6717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79702	0	0	0	-0.15513	0	0	0	0	0	0	0	0	0	0	0
Rab43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34212	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95347	0	0	0	0	0	0	0	0.61745	0	0	0	0	0
Rabgef1	0	0.36549	0	0	0	0	0.67117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ranbp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62819	0	0	0	0	0	0	0	0	0	0	0
Rasa2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66946	0.73171	0	0	0	0	0
Rhob	0	0	0	0	0	0	0	0	0	0.98249	0	0.98482	0	0	0.88679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rinl	0	0	0	0	0	0	-0.60464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Riok1	0	0	0	0	0.84579	0	0	0	0	0	0	0	0	0	0	0	0.83062	0	0	0	0	0	0	0	0	0	0.95041	0	0	0
Rora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7368	0	0.80023	0	0.28883	0.3838	0	0	0	0	0	0	0	0	0	0
Rpa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.72376	0	-0.78101	0	0	0	0	0	0	0	0	0
Rpl14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1112	0	0	0	0	0	0	0	0	0	0
Rprd1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.55816	0	0	0	0	0
Sept1	-0.22194	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92205	0	0	0	0	0	0	0	0.52304	0	0	0	0	0	0	0
Serpina3f	0	0	0	0	0	0	0	0	0.73337	0	-0.89854	0	0	0	0	0	0	0	0	0	0	0	-0.11465	0	-0.66368	0	0	0	0	0
Serpinb9	0	0	0	0	0	0.68211	0	0.54531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sertad1	0	0	0	0	0	0	0	0	0	0	0	0.87956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Setd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43607	0	0	0	0	0	0	0	0	0	0	0.94522	0	0
