	Bcl6	Creb3l1	Crem	Epas1	Foxo1	Kdm2b	Nfil3	Nfkb1	Nfkb2	Nr3c1	Rora	Skil	Stat3	Zkscan3
Hspa1a	0.25382	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0	-0.022951	0	0	0
Il17f	0.33091	0	0	0	0	0	0	0	0	0	0	0	0	0
Il2ra	-0.6959	0	0	0	0	0	0	0	0.11309	0	0.098239	0	0	0
Itga4	0	0	0	0	0	0	0	0	-0.62398	0	0	0	0	0
Itk	0	0	0	0	0	0	0	0.90416	0	0	0	0	0	0
Kdm2b	0	0	0	0	0	0	0	0	0	0	0	0	0.71945	0
Kpna1	0	0	0.084138	0	0	0	0	0	0	0	0	0.92315	0	0
Lats2	0.83987	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyn	0	0	0	0	0	0.66368	0	0	0	0	0	0.61624	0	0
Mapkapk2	-0.62602	0	0	0	0	0	0	0	0	0	0.34673	0	0	0
Mapkapk3	0	0	0	0	0	0	0	0	0.59983	0	-0.36797	0	0	0
Mbp	-0.71591	0	0	0	0	0	0	0	0	0	-0.31242	0	0	0
Med13	0	0	0	0	0.022421	0	0	0	0	0	0	0	0	0
Med13l	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7095
Mex3c	0	0	0	0	0	0	0.042692	0	0	0	0	0	0	0
Ncr1	0	0	0	0.90835	0	0	0	0	0	0	0	0	0	0
Nfil3	0.7961	0	0	0	0	0	0	0	0	0	-0.62694	0	0	0
Nfkb1	0	0	0	0	0	0	0	0	0	0	0.043503	0	0	0
Nfkb2	0	0	0.38718	0	0	0	0	0	0	0	0	0	0.34006	0
Nrp1	0	0	0	0	0	0	0	0	0.69078	0	0.93967	0	0	0
Paxbp1	0	0	0	0	0	0	0	0.91974	0	0.9634	0	0	0	0
Pfkp	0	0	0	0	0	0	0	0	0	0	0.87417	0	0	0
Ppfia1	0	0	0	0	0	0	0	0	0	0	0.94763	0	0	0.5694
Ppp1r16b	0.90416	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp3ca	0	0	0	0	0	0	0	0.18316	-0.97546	0	0	0	0	0
Ptpn22	0.9058	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn6	0	0	0	0	0	0	0	0	0	0	0.40696	0	0	0
Rasa2	0	0	0	0	0	0	0	0	0	0	0.73171	0	0	0
Rgs9	0.86075	0	0	0	0	0	0	0	0	0	0.97445	0	0.82859	0
Rn45s	0.46778	0	0	0	0	0	0	0	0	0	0	0	0	0
Rora	0	0	0	0	0	0	0	0.3838	0	0	0	0	0	0
Rprd1b	0	0	0	0	0	0	0	0	0	0	-0.55816	0	0	0
Sec24d	0	0	0	0	0	0	0	0	0	0	0	0	0.80232	0
Serpine2	0	0	0	0	0	0	0	0	0.83727	0	0	0	0	0
Ski	0	0	0	0	0	0.33646	0	0	0	0	0	0	0	0
Slc16a10	0	0	0	0	0	0.095668	0	0	0	0	0	0	0	0
Slc35e1	0	0	0	0	0	0.28883	0	0	0	0	0	0	0.82139	0
Smap2	0.93306	0	0	0	0	0	0	0	0	0	0.67278	0	0	0
St6galnac6	0	0	0	0	0	0	0	-0.69579	0	0	0	0	0	0
Stat3	0	0	0	0	0.83269	0.52194	0	0	0	0	0	0	0	0
Sytl3	0	0.83599	0	0	0	0	0	0	0	0	0	0	0	0
Tagap	0.75224	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex2	-0.30271	0	0	0.80232	0	0	0	0	0	0	0.75883	0	0	0
Traf3ip3	0	0	0	0.15545	0	0	0	0	0	0	0	0	0	0
Trf	0	0	0	0	0	0.80189	0	0	0	0	0	0	0.4749	0
Tspan14	-0.34964	0	0	0	0	0	0	0	0	0	-0.56516	0	0	0
Usp38	0	0	0	0	0	0	0	0	0	0	0.26592	0	0	0
