	Bcl6	Epas1	Foxo1	Hey1	Klf2	Nfkb1	Nfkb2	Nr1d1	Nr4a2	Rora	Stat3
Irak2	-0.15545	0	0	0	0	0	0	0	0	0	0
Itpkb	0	0	0	0	0	0	0	0	0	-0.5967	0
Kif13a	-0.57982	0	0	0	0	0	0	0.81033	-0.81209	0.96737	0
Klrb1b	0.98563	0	0	0	0	0	0	0	0	0	0
Klrb1c	0	-0.84849	0	0	0	-0.84247	0	0	0.84883	-0.49684	0
Large	0	0	0	0	0	0	0	0.47967	0	0.80531	0
Lats2	0.83987	0	0	0	0	0	0	0	0	0	0
Lgals3	0	0	0	0.75026	0.87761	0	0	0	0	0	0
Litaf	0	0	0	0	0	0	0	0	0.8735	0	0
Lonrf3	0	0	0	0.69115	0	0	0	0.72639	0	0	0
Lrrc20	0.81209	0	0	0	0	0	0	0	0	0	0
Lrrn2	0.90489	0	0	0	0	0	0	0.65572	0	0	0
Ltb4r1	0.77664	0	0	0	0	0.69137	0	0.91144	0	0	0
Ly86	0	0	0	0	0	0	0	0.44547	0	0	0
Mapkapk2	-0.62602	0	0	0	0	0	0	0	0.9027	0.34673	0
Mbp	-0.71591	0	0	0	0	0	0	0	-0.21602	-0.31242	0
Med13	0	0	0.022421	0	0	0	0	0	0	0	0
Megf9	0	0	0	0	0	0	0	0	0	0.84709	0
Mpzl3	0.62485	0	0	0	0	0	0	0	0	0.27652	0
N6amt1	0.79844	0	0	0	0	0	0	0	0	-0.26745	0
Ncoa7	0	0	0	0	0	0	0	0.051994	0	0.97325	0
Nfkb1	0	0	0	0	0	0	0	0	0	0.043503	0
Nfkb2	0	0	0	0	0	0	0	0	0	0	0.34006
Nr1d1	0	0	0	0.93027	0	0	0	0	0	0.93691	0
Nr4a2	0.74886	0	0	0	0	0	0	0	0	0	0
Osbpl9	0	0	0	0	0	0	0	-0.13334	0	0.57234	0
Pde4b	0.6462	0	0	0	0	0	0	0	0	0	0
Pde4d	0	0	0	0	0	0.64081	0	-0.19805	0.64582	0	0
Pdgfa	0	0	0	0	0	0	0	0	0.65505	0	0
Pigl	-0.2637	0	0	0	0	0	0	0.92777	0	0.92205	0
Plxdc2	-0.86315	0	0	0	0	0	0	0.98249	0	0.91758	0
Ppm1k	0.050452	0	0	0	0	0	0	0.60305	0	0.76848	0
Ppp1r16b	0.90416	0	0	0	0	0	0	0	0	0	0
Psd	0	0	0	0	0	0	0.76117	0	0	0	0
Ptpn22	0.9058	0	0	0	-0.1112	0	0	0	0	0	0
Ptpn6	0	0	0	0	0.73523	0	0	0	0.98146	0.40696	0
Ptpn7	0	0	0	0	0.27227	0	0	0	0	0	0
Rbm24	0	0	0	0.92544	0	0	0	0	0	0	0
Rgs9	0.86075	0	0	0	0	0	0	0	-0.81916	0.97445	0.82859
Rora	0	0	0	0	-0.7368	0.3838	0	0.61293	0	0	0
Rsad2	0	0	0	0	0	0	-0.79321	0.02574	0	0	0
Serpinb1b	0	0	0	0	0	0	0	0	0.91144	0	0
Serpine2	0	0	0	0	0	0	0.83727	0	0	0	0
Slc38a1	-0.76267	0	0	0	0	0	0.59606	0	0	0.99299	0
Slc41a3	0	0	0	0	0	0	0	0.75224	0	0.944	0
Slc6a7	0	0	0	0	0	0	0	0	0	-0.92777	0
Smap2	0.93306	0	0	0	0	0	0	0	-0.14092	0.67278	0
Src	0	0	0	0	0	0	0	0	0	0.90416	0
Stat3	0	0	0.83269	0	0	0	0	0	0.8735	0	0
Susd2	0.84635	0	0	0	0	0.57745	0	0	0	0	0
Sytl3	0	0	0	0	0	0	0	0	0.39283	0	0
Tex2	-0.30271	0.80232	0	0	0	0	0	0	0	0.75883	0
Tifa	0	0	0	0	0	0	0	0.69721	0	0	0
Tinf2	0	0	0	0	0	0	0	0	0	0	0.65207
Tpm4	0	0	0.94522	0.31201	0	0	0	0	0	0	0
Ttn	0	0	0	0	0	0	0	0	0.48084	0.68462	0
Usp38	0	0	0	0	0	0	0	0	-0.73892	0.26592	0
Wwtr1	0.96856	0	0	0	0	0	0	0.95041	0	0.46602	0
Xlr4a	0.93565	0	0	0	0	0	0	0.84495	0	0	0
